,Category,Subcategory,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,Restaurants,restaurants,PGOXqUQDznDNGNHbQMWQcg,takara-sushi-san-francisco,Takara Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/we_SRv1zbKXlDecnkxV9ZQ/o.jpg,False,https://www.yelp.com/biz/takara-sushi-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,339,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",3.8,"{'latitude': 37.76058, 'longitude': -122.43684}","['pickup', 'delivery']",$$,"{'address1': '4243 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4243 18th St', 'San Francisco, CA 94114']}",+14156267864,(415) 626-7864,42.382355296878444
1,Restaurants,restaurants,GUMD4UYvQ01RLcvQP74A-g,pasta-panino-san-francisco,Pasta Panino,https://s3-media1.fl.yelpcdn.com/bphoto/-FKpb9aMlJnMqAE6IebCTQ/o.jpg,False,https://www.yelp.com/biz/pasta-panino-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,75,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",4.6,"{'latitude': 37.761014, 'longitude': -122.435911}","['pickup', 'delivery']",$$,"{'address1': '4150 18th St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4150 18th St', 'San Francisco, CA 94114']}",+14158293829,(415) 829-3829,48.21560904257894
2,Restaurants,restaurants,Y1pIQwYRT0u0cYAsrZVXOA,wham-bam-burrito-san-francisco-3,Wham! Bam! Burrito!,,False,https://www.yelp.com/biz/wham-bam-burrito-san-francisco-3?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,3,"[{'alias': 'mexican', 'title': 'Mexican'}]",2.3,"{'latitude': 37.761014, 'longitude': -122.435911}",['delivery'],,"{'address1': '4150 18th St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4150 18th St', 'San Francisco, CA 94114']}",+14159238047,(415) 923-8047,48.21560904257894
3,Restaurants,restaurants,QZNRa98Xb0UNwg0GoqNyzw,thai-chef-san-francisco,Thai Chef,https://s3-media4.fl.yelpcdn.com/bphoto/LiV8LJKL8QjWnCYVxfGviA/o.jpg,False,https://www.yelp.com/biz/thai-chef-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,288,"[{'alias': 'thai', 'title': 'Thai'}]",3.5,"{'latitude': 37.760792, 'longitude': -122.435785}","['pickup', 'delivery']",$$,"{'address1': '4133 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4133 18th St', 'San Francisco, CA 94114']}",+14155512433,(415) 551-2433,59.41974127253157
4,Restaurants,restaurants,ZVsBPP6WuOf0XaxD4Dzztw,bacon-wrapped-hot-dog-lady-san-francisco,Bacon Wrapped Hot Dog Lady,https://s3-media3.fl.yelpcdn.com/bphoto/ejDPZFzN088K80G3PGrn-w/o.jpg,False,https://www.yelp.com/biz/bacon-wrapped-hot-dog-lady-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,1,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",5.0,"{'latitude': 37.7612883501471, 'longitude': -122.435583377146}",[],,"{'address1': 'Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['Castro St', 'San Francisco, CA 94117']}",,,87.38523811389452
5,Restaurants,restaurants,qz3acsikrI1Ax1eXc3UdWw,blush-san-francisco,Blush!,https://s3-media3.fl.yelpcdn.com/bphoto/yMZujOpQG79Sm8csKN-Tgw/o.jpg,False,https://www.yelp.com/biz/blush-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,327,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}]",3.9,"{'latitude': 37.7611002, 'longitude': -122.4351875}",['delivery'],$$,"{'address1': '476 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['476 Castro St', 'San Francisco, CA 94114']}",+14155580893,(415) 558-0893,113.65598062022168
6,Restaurants,restaurants,mBkkCCDXAND4ntNnzqOmRg,castro-indian-restaurant-and-bar-san-francisco,Castro Indian Restaurant & Bar,https://s3-media4.fl.yelpcdn.com/bphoto/zYmTdYTM7bL5lUxUPGNZZw/o.jpg,False,https://www.yelp.com/biz/castro-indian-restaurant-and-bar-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,62,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.7,"{'latitude': 37.761406, 'longitude': -122.435315}","['pickup', 'delivery']",,"{'address1': '468 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['468 Castro St', 'San Francisco, CA 94114']}",+14158759141,(415) 875-9141,113.8538708751459
7,Restaurants,restaurants,SQBSji6mfoL9SnibmLYfBw,sister-s-coffee-shop-san-francisco,Sister’s Coffee Shop,https://s3-media1.fl.yelpcdn.com/bphoto/XLeAEfQkU_BMVU0Yb5K9tg/o.jpg,False,https://www.yelp.com/biz/sister-s-coffee-shop-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,28,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 37.76068, 'longitude': -122.43526}","['pickup', 'delivery']",,"{'address1': '506 Castro St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['506 Castro St', 'San Francisco, CA 94114']}",+14154004819,(415) 400-4819,116.45995942826232
8,Restaurants,restaurants,xpnTVZXOgEjDtfDCXCvxmg,oz-pizza-san-francisco-3,Oz Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/olluAgVDVODRQGgnm2W7Vg/o.jpg,False,https://www.yelp.com/biz/oz-pizza-san-francisco-3?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,237,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 37.760636, 'longitude': -122.435152}","['pickup', 'delivery']",$,"{'address1': '508 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['508 Castro St', 'San Francisco, CA 94114']}",+14158612525,(415) 861-2525,117.55981817912289
9,Restaurants,restaurants,bm7sU0_SNY0k2ZX65YqTsA,wasabi-bistro-san-francisco,Wasabi Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/RtwSVxVChNUj4UOOX5OoZQ/o.jpg,False,https://www.yelp.com/biz/wasabi-bistro-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,655,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",3.8,"{'latitude': 37.7604103, 'longitude': -122.4351501}","['pickup', 'delivery', 'restaurant_reservation']",$$,"{'address1': '524 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['524 Castro St', 'San Francisco, CA 94114']}",+14157010082,(415) 701-0082,122.83689463327856
