,Unnamed: 0,Category,Subcategory,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
8,8,Restaurants,restaurants,xpnTVZXOgEjDtfDCXCvxmg,oz-pizza-san-francisco-3,Oz Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/olluAgVDVODRQGgnm2W7Vg/o.jpg,False,https://www.yelp.com/biz/oz-pizza-san-francisco-3?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,237,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 37.760636, 'longitude': -122.435152}","['pickup', 'delivery']",$,"{'address1': '508 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['508 Castro St', 'San Francisco, CA 94114']}",14158612525.0,(415) 861-2525,117.55981817912289
13,13,Restaurants,restaurants,EB5Luwg0aGXORbJjIY6syg,la-tortilla-san-francisco,La Tortilla,https://s3-media3.fl.yelpcdn.com/bphoto/ua9utVMJBwGt6gQIwEpBRg/o.jpg,False,https://www.yelp.com/biz/la-tortilla-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,354,"[{'alias': 'mexican', 'title': 'Mexican'}]",2.7,"{'latitude': 37.76109, 'longitude': -122.4347}","['pickup', 'delivery']",$,"{'address1': '495 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['495 Castro St', 'San Francisco, CA 94114']}",14158613990.0,(415) 861-3990,149.02174926168692
14,14,Restaurants,restaurants,luREw4YhfFuYiUdA0SECaw,rossi-s-deli-san-francisco,Rossi’s Deli,https://s3-media1.fl.yelpcdn.com/bphoto/Wm48k-z9-HitRpamlq7hqA/o.jpg,False,https://www.yelp.com/biz/rossi-s-deli-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,217,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.4,"{'latitude': 37.76205, 'longitude': -122.43538}",['pickup'],$,"{'address1': '426 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['426 Castro St', 'San Francisco, CA 94114']}",14158634533.0,(415) 863-4533,153.98707098442875
16,16,Restaurants,restaurants,E8VaBwgTmTbA0MkNSA-YcA,castro-tarts-san-francisco-2,Castro Tarts,https://s3-media2.fl.yelpcdn.com/bphoto/d_AJ3QwQp_nDO35lAL7gdA/o.jpg,False,https://www.yelp.com/biz/castro-tarts-san-francisco-2?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,329,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.2,"{'latitude': 37.759918, 'longitude': -122.435145}","['pickup', 'delivery']",$,"{'address1': '564 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['564 Castro St', 'San Francisco, CA 94114']}",14158613268.0,(415) 861-3268,158.45643703489034
21,21,Restaurants,restaurants,AQviX2W0XXJqYtc73KaNxQ,marcellos-pizza-san-francisco,Marcello's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/qF74Q9PUEw_qhXlOb2tihA/o.jpg,False,https://www.yelp.com/biz/marcellos-pizza-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,796,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",3.8,"{'latitude': 37.76212241225501, 'longitude': -122.4353164659444}","['pickup', 'delivery']",$,"{'address1': '420 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['420 Castro St', 'San Francisco, CA 94114']}",14158633900.0,(415) 863-3900,168.44446209279906
26,26,Restaurants,restaurants,wsPDEO08w_lH0x123_YEXg,philz-coffee-san-francisco-53,Philz Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/6ci5HVpGDOMlF4xuoOfHIw/o.jpg,False,https://www.yelp.com/biz/philz-coffee-san-francisco-53?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,1111,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.4,"{'latitude': 37.7601127624512, 'longitude': -122.4345703125}",['delivery'],$,"{'address1': '549 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['549 Castro St', 'San Francisco, CA 94114']}",14158759656.0,(415) 875-9656,182.69546035879424
40,40,Restaurants,restaurants,Pvr9hnB4RP54crj4gdTUag,kasa-indian-eatery-san-francisco-10,Kasa Indian Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/Gdt2hs4CI5o7K45vBq8rCg/o.jpg,False,https://www.yelp.com/biz/kasa-indian-eatery-san-francisco-10?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,1154,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",3.7,"{'latitude': 37.76081, 'longitude': -122.43295}","['pickup', 'delivery']",$,"{'address1': '4001 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4001 18th St', 'San Francisco, CA 94114']}",14156216940.0,(415) 621-6940,304.0553378554922
51,54,Restaurants,food,gMqVjmNcdU7K6k6OI1Fj1A,five-star-truffles-co-san-francisco,Five Star Truffles Co.,https://s3-media2.fl.yelpcdn.com/bphoto/tPGiRfDnEVIxZJR5pcsuvg/o.jpg,False,https://www.yelp.com/biz/five-star-truffles-co-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,202,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",4.5,"{'latitude': 37.76058, 'longitude': -122.43693}","['delivery', 'pickup']",$,"{'address1': '4251 A 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4251 A 18th St', 'San Francisco, CA 94114']}",14155525128.0,(415) 552-5128,54.17184551394678
54,59,Restaurants,food,c8h3VFeCV6436OmQjQ8__Q,walgreens-san-francisco-98,Walgreens,https://s3-media1.fl.yelpcdn.com/bphoto/wiuAL48ARLzdFBB86sKp1w/o.jpg,False,https://www.yelp.com/biz/walgreens-san-francisco-98?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,189,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",3.2,"{'latitude': 37.7611173798601, 'longitude': -122.435222715139}",[],$,"{'address1': '498 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['498 Castro St', 'San Francisco, CA 94114']}",14158613136.0,(415) 861-3136,110.33198893743318
56,70,Restaurants,food,y9yGHZK-m7UF-f3pszcaQg,the-posh-bagel-san-francisco-3,The Posh Bagel,https://s3-media4.fl.yelpcdn.com/bphoto/_LqA2EdF8oZoA9U002qGtw/o.jpg,False,https://www.yelp.com/biz/the-posh-bagel-san-francisco-3?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,174,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",3.0,"{'latitude': 37.76109, 'longitude': -122.4347}","['delivery', 'pickup']",$,"{'address1': '495 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['495 Castro St', 'San Francisco, CA 94114']}",14155522767.0,(415) 552-2767,149.02174926168692
