,Unnamed: 0,Category,Subcategory,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
8,8,Restaurants,restaurants,xpnTVZXOgEjDtfDCXCvxmg,oz-pizza-san-francisco-3,Oz Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/olluAgVDVODRQGgnm2W7Vg/o.jpg,False,https://www.yelp.com/biz/oz-pizza-san-francisco-3?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,237,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 37.760636, 'longitude': -122.435152}","['pickup', 'delivery']",$,"{'address1': '508 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['508 Castro St', 'San Francisco, CA 94114']}",14158612525.0,(415) 861-2525,117.55981817912289
13,13,Restaurants,restaurants,EB5Luwg0aGXORbJjIY6syg,la-tortilla-san-francisco,La Tortilla,https://s3-media3.fl.yelpcdn.com/bphoto/ua9utVMJBwGt6gQIwEpBRg/o.jpg,False,https://www.yelp.com/biz/la-tortilla-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,354,"[{'alias': 'mexican', 'title': 'Mexican'}]",2.7,"{'latitude': 37.76109, 'longitude': -122.4347}","['pickup', 'delivery']",$,"{'address1': '495 Castro St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['495 Castro St', 'San Francisco, CA 94114']}",14158613990.0,(415) 861-3990,149.02174926168692
51,54,Restaurants,food,gMqVjmNcdU7K6k6OI1Fj1A,five-star-truffles-co-san-francisco,Five Star Truffles Co.,https://s3-media2.fl.yelpcdn.com/bphoto/tPGiRfDnEVIxZJR5pcsuvg/o.jpg,False,https://www.yelp.com/biz/five-star-truffles-co-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,202,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",4.5,"{'latitude': 37.76058, 'longitude': -122.43693}","['delivery', 'pickup']",$,"{'address1': '4251 A 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4251 A 18th St', 'San Francisco, CA 94114']}",14155525128.0,(415) 552-5128,54.17184551394678
54,59,Restaurants,food,c8h3VFeCV6436OmQjQ8__Q,walgreens-san-francisco-98,Walgreens,https://s3-media1.fl.yelpcdn.com/bphoto/wiuAL48ARLzdFBB86sKp1w/o.jpg,False,https://www.yelp.com/biz/walgreens-san-francisco-98?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,189,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",3.2,"{'latitude': 37.7611173798601, 'longitude': -122.435222715139}",[],$,"{'address1': '498 Castro St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['498 Castro St', 'San Francisco, CA 94114']}",14158613136.0,(415) 861-3136,110.33198893743318
68,104,Restaurants,dining,G4aq8R583DUwR65Hw86yCQ,the-edge-san-francisco,The Edge,https://s3-media2.fl.yelpcdn.com/bphoto/G28Spn8skPP3z3PxXQLO5A/o.jpg,False,https://www.yelp.com/biz/the-edge-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,190,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",3.6,"{'latitude': 37.7607325719368, 'longitude': -122.435977232944}",[],$,"{'address1': '4149 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4149 18th St', 'San Francisco, CA 94114']}",14158634027.0,(415) 863-4027,45.28233758293023
69,105,Restaurants,dining,1ndBxAGmb_qOXdOBHAFoSg,toad-hall-bar-san-francisco,Toad Hall Bar,https://s3-media1.fl.yelpcdn.com/bphoto/cDsPoGvk7e-lmoaZd1Z1wA/o.jpg,False,https://www.yelp.com/biz/toad-hall-bar-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,293,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",3.5,"{'latitude': 37.76102, 'longitude': -122.4359}",[],$,"{'address1': '4146 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['4146 18th St', 'San Francisco, CA 94114']}",14156212811.0,(415) 621-2811,45.86068030636967
81,151,Restaurants,cuisine,5AbIje9ZFCsTF1YrESSOIg,la-cuisine-cafe-san-francisco-4,La Cuisine Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/mCJE8b_QHmUJhukIFiSn6g/o.jpg,False,https://www.yelp.com/biz/la-cuisine-cafe-san-francisco-4?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,103,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.6,"{'latitude': 37.77950184993586, 'longitude': -122.41335819999426}","['delivery', 'pickup']",$,"{'address1': '1145 Market St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['1145 Market St', 'San Francisco, CA 94103']}",14157570133.0,(415) 757-0133,2897.8097356118487
109,254,Restaurants,diners,cwoLsXwBGMjz3LcroaJl_A,missions-kitchen-san-francisco,Mission's Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/4c9lQQOxUT3puf49SmlZXQ/o.jpg,False,https://www.yelp.com/biz/missions-kitchen-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,188,"[{'alias': 'diners', 'title': 'Diners'}]",3.9,"{'latitude': 37.75321, 'longitude': -122.41889}",['pickup'],$,"{'address1': '2738 Mission St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['2738 Mission St', 'San Francisco, CA 94110']}",14156481577.0,(415) 648-1577,1763.366434307173
114,259,Restaurants,diners,O16fNPE0FtAi63D4VFRAXA,lafayette-coffee-shop-san-francisco-2,Lafayette Coffee Shop,https://s3-media3.fl.yelpcdn.com/bphoto/lJkGfTh4gRDRxJ8R55dZMA/o.jpg,False,https://www.yelp.com/biz/lafayette-coffee-shop-san-francisco-2?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,69,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 37.78349, 'longitude': -122.41783}","['delivery', 'pickup']",$,"{'address1': '611 Larkin St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['611 Larkin St', 'San Francisco, CA 94109']}",14154414884.0,(415) 441-4884,2998.35009560627
160,327,Restaurants,bistros,MTIqLOBdISaon4G22qb5Lg,thorough-bread-and-pastry-san-francisco,Thorough Bread & Pastry,https://s3-media2.fl.yelpcdn.com/bphoto/KVP-fxsiaODJfUdnHO3hQA/o.jpg,False,https://www.yelp.com/biz/thorough-bread-and-pastry-san-francisco?adjust_creative=UrTih-vsDBnP_I6A9R91yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UrTih-vsDBnP_I6A9R91yg,972,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",4.4,"{'latitude': 37.7665123809431, 'longitude': -122.429034858942}",['pickup'],$,"{'address1': '248 Church St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['248 Church St', 'San Francisco, CA 94114']}",14155580690.0,(415) 558-0690,902.2696814780752
